FileName,iou_score
kpzzQWZ_K3s_000030_000040_4.0_7.0,0.012991397
QflNRgKJPkU_000028_000038_7.0_10.0,0.012892216
HY_lPyHyqLU_000183_000193_6.0_10.0,0.00033892813
UPKnkMX8moM_000015_000025_0.5_3.5,0.005545692
03fGTwkSBWs_000289_000299_0.0_5.0,1.7872118e-05
i_hhSKWxzeU_000038_000048_4.0_9.5,0.0035243207
tYzH5rkbuBQ_000000_000010_1.5_5.0,0.0
VKu9ckxmhAw_000010_000020_0.0_4.0,0.0013240096
9jVX4RuJ774_000390_000400_2.5_6.5,0.07673302
IWr6t7Z1mvg_000000_000010_2.5_6.5,0.028740471
2WJ5SDQVTmw_000004_000014_7.0_10.0,0.0024389
TOjkzdLprPY_000209_000219_0.0_7.5,0.004956445
L-EAZxnYi58_000063_000073_2.0_5.0,0.01284631
Jqwl7uvN65w_000150_000160_4.0_9.5,0.005670076
JAC0_tcY0T8_000030_000040_1.5_4.5,0.0045643374
IsuhuBVJg4A_000129_000139_0.0_3.5,0.0038779355
73KLTq7YHlI_000022_000032_0.5_3.5,0.0033472432
4vcwMj0sL9E_000105_000115_3.0_8.5,0.0042350586
aeiXr2U079g_000030_000040_1.5_4.5,0.004509362
E55BlYjxCYY_000011_000021_0.0_3.0,0.0001796094
tgXWJEZzFHE_000056_000066_0.5_4.5,0.0034090457
5-FM0mCYups_000003_000013_3.5_6.5,0.00037978828
AYiactWYCrc_000030_000040_0.5_10.0,0.0644644
0_1Jo7NAhl4_000149_000159_2.5_6.0,0.00828742
eRsuAfoCN8A_000008_000018_6.5_9.5,0.0021815558
WjFE24n17q4_000160_000170_2.5_8.5,0.0160983
cRt6_axWZqY_000020_000030_6.5_10.0,0.010091418
CtUZ9HljxMQ_000021_000031_0.0_5.0,0.005974315
fjhqZxE-USo_000024_000034_0.0_4.0,0.00809503
PUTvgrTcdZ0_000014_000024_0.0_5.0,0.0015845718
noA2J5tXBS8_000090_000100_1.5_5.5,0.019550875
2gWhL4gNvm4_000139_000149_5.0_9.5,0.0028991632
MrrxA1Doh-g_000007_000017_4.0_9.5,0.0042811097
E-G6U1bpxME_000030_000040_0.0_9.5,0.12249263
tq3Hlgw2ZB0_000180_000190_1.0_3.1,0.003188534
